Name,Math_Grade7,Math_Grade8,Math_Grade9,English_Grade7,English_Grade8,English_Grade9,Kiswahili_Grade7,Kiswahili_Grade8,Kiswahili_Grade9,Integrated_Grade7,Integrated_Grade8,Integrated_Grade9,Agriculture_Grade7,Agriculture_Grade8,Agriculture_Grade9,Social_Grade7,Social_Grade8,Social_Grade9,CRE_Grade7,CRE_Grade8,CRE_Grade9,Creative_Arts_and_Sports_Grade7,Creative_Arts_and_Sports_Grade8,Creative_Arts_and_Sports_Grade9,Pretechnical_Grade7,Pretechnical_Grade8,Pretechnical_Grade9,Actual Pathway
abigael,69,30,89,95,54,35,83,89,67,37,74,66,29,25,37,24,26,89,11,27,17,42,65,30,27,15,75,STEM
naliaka,22,82,48,21,26,46,80,72,18,63,46,21,84,71,12,60,22,28,14,22,26,76,87,91,67,65,29,Arts and Sports
elizabeth,22,68,21,54,34,17,45,36,55,49,90,18,28,63,34,77,85,40,29,68,53,47,26,54,56,95,38,Social Science
ivone,35,23,54,27,91,62,80,21,57,40,83,23,92,74,43,91,32,73,34,92,42,85,12,17,59,44,69,STEM
fastelin,15,68,22,90,65,78,94,77,83,94,23,93,74,59,22,35,75,52,68,16,60,79,93,91,86,31,38,STEM
rose,53,18,86,72,45,52,36,18,34,51,20,95,62,82,11,59,66,45,15,84,71,24,34,63,13,62,47,Social Science
chemonges,44,95,68,25,93,69,89,44,22,61,55,28,32,27,51,86,29,80,26,24,34,38,19,11,70,54,10,Social Science
gillian,40,64,37,21,63,23,65,12,38,55,81,62,19,34,39,74,58,62,44,51,59,14,45,92,28,19,53,STEM
kimongo,91,15,25,39,14,43,47,30,69,82,65,79,35,14,84,71,76,94,50,69,66,42,87,90,25,37,89,Arts and Sports
daisy,91,86,84,64,76,86,44,38,91,90,79,94,40,58,62,22,56,75,52,50,64,17,71,20,61,46,71,Social Science
simiyu,77,79,18,36,80,55,49,24,77,91,19,12,46,64,74,90,51,44,62,80,95,29,50,32,23,24,31,STEM
abigael,37,88,51,61,85,66,41,88,24,49,59,58,87,61,33,12,65,54,31,28,19,28,24,84,93,36,37,STEM
masai,10,17,33,92,87,54,29,94,91,47,90,23,29,73,34,57,52,59,19,94,70,95,66,75,22,24,41,Social Science
avillah,80,55,27,35,61,39,32,80,31,59,59,59,78,47,54,31,89,94,53,88,16,45,50,15,12,72,14,Social Science
chemtai,89,28,53,84,30,84,62,16,58,34,27,95,59,51,31,34,86,78,18,58,27,40,24,71,12,64,70,STEM
edith ,27,92,56,26,24,26,65,42,59,14,71,47,67,27,15,86,60,32,82,85,81,71,67,29,81,93,74,Arts and Sports
silali,75,80,23,67,72,34,17,31,86,32,53,92,20,78,85,95,71,60,56,40,15,53,15,45,14,85,49,STEM
joy,49,94,65,54,61,86,71,51,83,49,51,15,48,86,69,23,33,36,75,27,24,13,74,46,59,91,71,STEM
naliaka,47,70,66,46,51,22,74,59,14,25,80,24,24,48,74,19,92,49,14,48,83,23,85,37,68,27,28,STEM
kirui,66,93,37,44,23,62,93,65,45,40,74,28,36,16,67,94,95,12,57,44,55,33,48,62,81,26,94,Social Science
abigael,89,43,42,33,29,37,57,63,41,51,82,50,23,78,48,12,60,34,36,77,24,60,95,27,91,52,72,STEM
chebet,58,39,56,71,94,21,63,92,16,69,13,10,82,81,51,59,25,55,63,55,46,13,60,85,10,49,58,Arts and Sports
naomi,25,53,82,41,39,87,71,11,70,91,15,93,92,69,53,69,46,55,74,69,74,64,26,19,69,34,94,STEM
etyang,60,76,57,13,85,75,72,69,20,66,57,26,31,85,45,63,38,21,94,30,35,59,81,41,86,15,89,Social Science
laventa,20,76,14,35,33,66,49,34,59,51,59,18,93,73,24,95,92,21,44,44,49,51,17,91,30,40,31,Social Science
atori,94,29,66,88,50,55,81,18,21,67,31,65,47,86,31,26,48,55,89,69,49,57,70,13,18,62,30,STEM
jakait,88,89,25,70,37,31,42,88,57,76,21,78,32,39,37,30,33,14,42,92,84,53,39,42,88,36,34,STEM
joyline ,72,34,42,41,78,39,91,39,57,28,80,53,45,15,15,81,66,45,25,30,62,50,30,51,79,49,22,Social Science
jebet,17,50,67,95,58,62,64,48,13,17,46,35,71,76,66,95,13,65,77,15,54,10,36,66,56,34,13,STEM
margaret,60,42,46,78,72,12,22,43,78,84,48,86,57,86,81,50,34,14,83,58,42,70,24,51,16,77,20,Social Science
namalwa,25,78,71,95,46,25,18,55,82,25,68,22,30,90,78,11,45,64,12,42,19,55,71,91,29,68,91,STEM
jemimah,13,31,16,14,61,39,22,94,44,46,40,81,25,18,10,54,19,32,54,72,13,53,57,51,79,82,22,Social Science
ndiwa,92,36,60,50,31,12,47,86,76,46,37,56,80,72,77,79,76,19,90,57,22,42,78,32,77,71,41,Social Science
lavin,79,66,87,66,35,82,25,44,14,35,93,19,13,37,10,40,36,70,42,89,67,23,27,25,84,21,18,Social Science
nasongo,27,16,77,93,10,75,16,11,69,23,77,66,19,60,34,37,85,67,17,59,77,77,43,46,26,75,84,STEM
mercy,75,10,45,11,24,70,77,73,15,27,14,89,85,93,59,21,44,81,11,86,21,87,76,71,77,94,76,Arts and Sports
naiegu,92,74,81,55,15,81,38,10,53,17,60,49,88,74,82,36,17,34,43,57,36,27,64,52,30,68,15,Social Science
reginalda,42,38,26,14,40,95,36,52,91,55,21,86,25,69,13,67,65,32,80,17,17,48,79,75,69,87,44,Social Science
masaba,42,32,81,54,77,34,45,14,32,59,11,35,84,62,65,71,89,57,33,51,82,80,12,58,16,59,32,STEM
linah,41,92,41,22,89,78,40,48,91,64,94,38,17,17,73,94,80,53,95,87,17,80,85,73,54,78,78,Arts and Sports
oprah,24,55,25,88,73,36,14,40,85,44,29,43,12,19,59,88,91,30,92,22,76,95,36,79,41,35,33,Social Science
abigael,32,29,55,78,71,46,23,17,79,37,62,27,35,13,74,76,68,15,82,39,78,87,21,60,52,31,60,STEM
gloria,20,86,88,76,60,28,77,61,24,89,42,36,53,58,55,10,51,79,87,27,22,76,93,57,44,20,66,STEM
lavendah,90,21,93,27,87,45,34,27,16,51,71,24,19,36,85,82,61,13,70,24,14,29,51,77,91,15,82,STEM
constance,62,93,17,92,84,75,87,94,46,58,90,37,21,95,48,11,48,64,94,55,69,90,30,48,68,72,48,Social Science
baraka,36,16,53,84,27,77,92,20,92,33,81,55,92,82,40,92,71,81,31,50,68,41,17,71,95,10,77,Social Science
kiara,53,52,65,45,32,94,61,68,93,23,19,68,94,95,18,85,63,89,79,22,86,95,16,59,66,90,42,Arts and Sports
deborah,89,74,10,85,16,36,71,76,36,65,22,22,12,82,46,73,84,56,44,68,30,92,26,25,64,33,20,Arts and Sports
chebet,82,50,31,24,33,92,21,93,55,48,81,24,39,32,88,61,30,35,54,75,80,79,25,12,61,31,69,STEM
lavendah,28,34,10,29,54,35,33,37,54,88,84,69,22,31,61,70,67,21,66,11,17,15,32,83,52,18,23,Social Science
chepteek,30,61,86,20,11,69,14,27,61,92,57,64,23,22,74,81,39,91,22,65,94,64,51,23,25,56,53,STEM
avilah,88,78,73,51,20,90,95,54,91,87,49,36,30,55,20,59,20,32,90,91,67,14,42,58,41,41,36,Social Science
cherop,81,93,62,80,55,65,86,66,25,47,30,82,81,28,45,24,35,63,36,30,61,17,57,79,18,67,11,Arts and Sports
joweria,70,33,32,60,27,29,18,19,53,24,42,91,75,48,91,58,38,56,60,33,19,24,35,50,64,43,32,Social Science
ariel,60,32,92,56,81,79,53,15,48,92,80,48,32,93,37,87,32,71,84,61,92,20,36,73,89,79,62,STEM
dorcus,74,74,16,69,81,21,60,15,58,27,30,35,32,48,74,30,33,48,55,92,67,36,81,26,24,38,86,STEM
desta,91,11,36,46,55,58,45,46,25,92,15,50,15,48,44,51,64,11,14,78,12,12,12,71,60,37,17,Social Science
valentine,16,91,91,14,16,27,15,53,29,64,43,22,11,61,66,19,11,13,26,37,11,68,26,45,74,86,66,STEM
nekesa,69,59,48,55,67,30,59,42,33,18,64,63,84,69,86,86,31,62,23,72,13,88,16,13,69,68,49,STEM
ephy,30,67,93,30,60,78,85,48,74,58,32,41,65,74,78,66,25,31,86,29,78,18,37,56,86,44,13,STEM
chebii,89,31,11,76,86,39,39,76,23,15,59,73,93,39,76,52,64,65,52,88,22,90,58,53,91,25,56,STEM
chemwei,91,39,11,49,58,44,59,17,78,43,65,20,95,27,16,46,30,57,23,41,44,71,53,70,85,60,68,Social Science
melvine,38,25,43,71,49,56,66,20,89,85,73,15,18,20,11,75,94,47,50,88,84,61,38,34,95,22,19,STEM
chepchumba,94,65,80,84,29,78,73,76,57,68,42,43,37,41,95,88,36,57,59,84,30,44,74,50,65,77,14,Arts and Sports
cecilia,26,55,20,63,33,49,72,47,32,63,46,75,43,24,74,46,35,78,44,18,31,81,94,54,79,55,59,STEM
mutenyo,85,11,73,80,45,21,47,83,62,40,67,41,43,84,59,63,70,48,77,35,66,27,39,58,84,24,81,STEM
barasa,69,29,93,53,56,81,36,43,33,44,78,78,80,67,47,61,72,62,31,82,72,21,23,95,21,38,45,Social Science
daisy,25,56,43,10,50,83,17,85,62,91,58,69,46,31,71,28,22,93,91,64,25,12,69,13,67,63,41,STEM
chemtai,69,60,64,24,92,21,14,15,29,50,36,89,54,44,62,24,78,90,76,66,65,50,63,54,86,49,49,Social Science
lindah,46,52,59,43,75,72,91,39,49,44,47,28,87,53,35,80,68,71,63,37,57,41,29,68,34,74,44,STEM
nakhumicha,19,31,92,93,38,90,17,26,50,26,89,91,40,46,38,58,23,81,60,83,88,13,15,77,90,43,76,Social Science
vailah,33,37,37,58,82,51,44,71,47,38,61,26,83,32,69,24,92,21,86,94,12,90,88,17,78,83,44,STEM
chebet,26,74,55,37,16,89,11,86,85,57,92,43,69,26,80,37,46,80,93,70,14,15,92,93,85,92,37,Social Science
chesori,95,46,65,85,52,82,77,12,94,95,38,55,36,43,87,69,79,23,57,59,80,82,54,54,83,71,54,STEM
bonny,60,17,93,73,55,80,72,21,62,28,91,43,85,81,49,17,84,29,89,92,69,95,74,15,81,89,62,Arts and Sports
rabecca,52,65,43,82,83,23,30,19,37,37,14,84,66,36,23,12,10,37,82,63,17,37,71,40,28,69,27,STEM
kundu,17,60,21,82,63,95,73,38,94,13,57,71,32,81,31,79,78,34,45,27,39,18,44,88,26,15,31,Social Science
wamini,41,28,83,47,26,90,42,50,56,93,81,41,72,80,70,47,34,83,26,81,42,27,93,95,92,14,32,Social Science
abigael,78,35,36,16,51,45,84,32,41,60,40,73,80,30,28,16,34,75,59,64,64,62,49,12,55,36,73,STEM
cheptoo,32,70,36,58,80,83,24,50,23,60,54,39,89,21,14,17,56,74,65,58,88,44,21,25,63,28,56,Arts and Sports
valen,44,80,62,63,47,87,39,18,63,24,20,16,22,95,10,66,35,39,55,49,51,26,12,18,45,24,54,STEM
chepkwemoi,95,39,80,73,14,80,50,56,80,69,25,17,85,59,57,70,83,58,39,69,19,54,63,61,23,60,49,Social Science
purity,43,91,52,77,86,76,54,55,40,67,55,45,36,45,75,15,64,55,52,42,31,95,41,24,69,58,13,Social Science
laura,80,82,11,54,31,55,63,71,46,85,89,18,77,82,69,20,27,27,12,62,16,76,79,14,89,67,10,Social Science
abigael,67,50,30,53,86,58,67,74,75,38,39,49,41,86,70,88,52,37,21,60,41,82,12,59,68,61,80,Social Science
chebet,51,46,51,12,42,24,10,82,40,91,13,52,77,45,17,35,74,10,67,65,82,26,11,83,69,51,53,STEM
kipkut,89,46,50,19,77,93,83,34,51,41,61,93,47,60,65,69,57,51,73,53,73,70,55,52,68,32,76,STEM
rose,70,69,91,27,71,24,34,52,61,72,29,51,13,66,40,51,80,76,92,32,85,30,76,61,72,59,49,Social Science
mwanika,83,26,86,73,35,34,82,73,65,21,60,12,54,38,74,37,34,89,54,42,91,20,70,93,75,28,72,Social Science
juliet,87,50,59,50,21,19,12,86,66,87,24,61,93,19,94,40,22,71,73,87,28,59,23,79,37,47,41,Social Science
naliaka,47,34,59,37,46,27,65,59,92,41,79,33,47,24,34,82,84,45,34,56,93,32,65,76,95,72,21,STEM
felistus,91,25,44,55,85,56,38,86,35,32,11,34,42,86,69,41,37,43,11,94,51,65,62,47,44,22,48,Social Science
sikhoya,58,62,32,48,78,68,14,43,15,29,65,81,18,25,38,91,75,52,15,24,31,82,82,42,80,68,31,STEM
ndiwa,12,17,47,73,37,80,70,16,51,77,48,91,38,18,75,82,60,23,40,59,93,69,77,51,77,86,87,STEM
purity,86,71,56,76,71,54,94,74,47,39,88,28,78,32,44,41,59,42,84,89,23,79,47,21,73,28,49,Social Science
kirui,42,62,26,25,87,74,76,91,10,66,89,30,30,10,28,84,16,40,87,11,75,63,68,10,28,95,65,STEM
mary,25,45,28,30,63,61,79,72,24,21,77,43,82,79,25,87,25,91,23,23,34,68,32,41,18,76,26,STEM
shivende,51,50,60,53,61,94,56,47,93,67,65,51,91,23,33,43,20,83,19,41,50,53,89,48,13,30,25,STEM
charles,59,86,67,70,23,91,56,27,39,11,87,63,70,54,94,82,69,56,18,77,89,93,19,11,49,79,18,Social Science
flavian,49,86,46,11,19,62,36,57,95,37,21,75,40,52,36,71,93,39,54,41,27,15,11,26,18,71,28,Social Science
adiony,26,83,26,49,69,27,93,86,85,75,79,49,81,53,16,23,92,30,66,47,39,38,85,32,56,71,57,Social Science
lindah,19,68,91,34,67,28,81,75,82,50,63,43,86,21,56,35,16,51,74,34,88,69,87,89,12,21,92,Social Science
chebet,55,53,88,80,26,95,30,71,38,77,58,74,79,28,90,53,43,23,57,16,43,94,64,16,46,29,44,STEM
ebby,19,60,63,44,50,16,94,63,41,72,25,84,60,33,28,91,14,62,33,77,11,87,75,29,95,22,29,Social Science
wekesa,71,69,92,55,41,12,20,31,78,50,20,90,46,77,46,86,65,85,74,71,52,83,16,49,72,16,53,STEM
levina ,90,26,66,88,35,23,73,28,84,50,36,91,12,50,12,80,86,36,83,76,28,21,84,90,61,30,86,STEM
chebet,74,24,35,35,68,41,17,51,23,19,18,84,55,12,15,10,88,67,41,36,30,71,23,53,55,69,76,Social Science
valentine,38,71,17,74,75,54,58,15,27,77,85,15,42,67,23,62,35,65,88,18,12,83,32,43,74,53,60,Social Science
bibo,19,25,66,35,86,16,92,75,92,65,54,15,39,51,48,83,30,26,20,60,89,56,87,29,80,87,53,Social Science
anasytasia,77,56,36,28,11,52,71,93,70,54,41,89,47,52,79,11,48,59,17,70,45,14,92,83,42,17,34,STEM
kiboi,54,51,55,30,41,43,84,81,48,74,64,66,43,92,27,11,48,87,50,52,22,36,47,92,24,36,75,STEM
harriet,47,25,29,26,60,56,53,75,32,92,71,20,85,27,79,28,47,12,61,22,77,51,10,34,22,52,15,Social Science
khalayi,78,31,76,28,41,69,83,33,47,94,15,22,24,84,18,27,49,54,85,65,71,92,29,62,39,68,55,Social Science
biketi,94,49,48,40,24,64,61,40,57,51,51,55,54,79,18,14,59,65,53,70,12,17,62,71,95,54,85,Social Science
belinda,80,71,87,54,14,30,64,38,37,60,51,88,71,23,71,32,10,62,71,91,31,41,41,16,89,26,21,Social Science
chepkwemoi,69,52,22,68,95,12,86,30,62,94,22,92,76,12,91,65,51,80,65,35,20,47,77,64,39,50,81,STEM
kuboi,16,75,22,53,95,89,54,44,77,55,54,84,83,30,11,71,63,93,39,25,17,85,84,76,79,89,38,STEM
mildred,57,76,43,60,25,29,49,36,56,60,39,12,40,35,60,26,40,53,40,30,29,20,23,61,93,86,18,Arts and Sports
nafula,49,16,42,61,12,91,54,60,22,88,41,40,66,49,90,65,42,76,58,69,91,82,17,95,63,13,29,Social Science
esther namae,15,53,77,59,89,15,82,88,81,22,42,24,35,23,19,66,14,92,13,27,89,40,75,50,83,74,10,STEM
francine,54,52,73,72,68,83,39,35,77,28,68,19,23,92,59,95,41,81,60,34,95,80,89,81,13,22,64,Arts and Sports
chepkorir,91,93,84,30,13,40,38,26,78,47,47,53,21,40,76,81,34,87,69,66,55,28,80,13,48,64,60,STEM
marango,40,30,93,26,55,75,72,24,95,68,90,41,23,17,29,39,87,49,92,95,33,64,33,47,63,88,31,STEM
shaline,78,40,59,88,59,73,10,25,85,45,95,43,10,54,40,46,79,31,39,52,42,20,84,22,14,59,25,STEM
chebet,80,91,93,35,48,12,35,12,36,55,58,88,27,76,32,75,32,67,51,12,12,76,91,11,71,38,62,Social Science
tabitha,12,18,39,10,68,61,24,71,82,59,74,74,70,87,34,63,31,35,14,23,11,39,68,16,62,38,14,Social Science
lusike ,15,77,68,81,14,14,27,22,64,33,56,24,15,36,63,13,37,66,58,67,32,84,51,64,47,58,37,Social Science
mukhwana,33,83,69,53,25,20,24,61,73,81,51,82,69,73,56,78,23,95,87,24,45,51,15,34,38,56,29,Arts and Sports
milia,83,83,66,25,74,12,11,67,45,93,86,68,46,45,65,78,29,26,90,27,86,10,70,11,13,18,32,Social Science
nambe,89,61,10,35,67,25,45,83,65,86,23,87,16,21,59,44,20,86,62,42,53,31,84,71,35,91,85,Social Science
hope,30,77,13,39,32,66,82,14,76,41,92,59,12,37,55,64,75,56,90,18,70,49,40,70,58,16,47,Social Science
nanjala,52,12,37,65,36,18,30,53,14,72,17,48,79,92,19,61,56,84,71,83,14,43,85,84,71,67,60,Social Science
wekesa,80,71,84,44,36,60,30,26,68,74,81,49,84,78,15,21,80,22,33,37,48,61,63,35,89,29,21,Arts and Sports
belynda,77,32,72,28,25,73,83,72,68,14,59,84,24,23,35,43,46,20,72,39,22,79,87,30,16,27,86,STEM
imali,13,11,87,33,92,12,60,81,30,59,77,91,67,65,84,15,59,28,89,75,21,84,64,78,66,43,91,STEM
vashit,21,70,80,61,31,73,81,21,81,46,52,28,93,60,43,27,71,83,79,66,49,36,67,67,60,52,34,STEM
chepkwemoi,41,83,36,47,88,26,81,55,27,81,62,70,95,48,51,19,51,93,75,17,82,28,60,89,64,70,81,Social Science
nicole,53,88,17,49,52,52,18,63,52,63,60,79,29,17,32,31,25,62,79,60,54,78,75,55,76,64,41,STEM
nafula,52,47,82,25,25,29,91,69,76,94,85,75,46,14,67,77,13,20,45,28,20,57,33,10,34,63,43,STEM
wekesa,91,84,17,64,50,91,89,95,20,46,48,39,93,86,17,69,81,41,59,12,41,32,31,64,84,57,40,STEM
ivine,82,89,86,44,89,59,21,71,54,22,15,90,54,75,72,61,38,69,91,72,40,71,82,35,78,37,50,STEM
